,ax,ay,az,gx,gy,gz
1026,0.09097966,-8.76996,-5.226542,2.419847,3.648855,5.48855
1027,0.1005565,-8.463503,-5.018247,-1.687023,2.045802,1.381679
1028,0.2274492,-8.611943,-5.260061,0.007633588,0.09160305,2.419847
1029,0.1675941,-8.628703,-5.006276,-0.08396947,-1.839695,0.3816794
1030,0.1340753,-8.75799,-5.29358,-0.6183206,-2.572519,0.2748091
1031,0.1723825,-8.765172,-5.051765,-0.6412213,-4.015267,-2.221374
1032,0.2753332,-8.690952,-5.003881,1.717557,-3.679389,-1.137405
1033,-0.03830723,-9.006987,-4.948815,3.0,-7.61832,-7.664122
1034,-0.07661445,-8.259995,-4.819528,-0.7557252,-5.587786,-6.625954
1035,-0.05985504,-8.705317,-5.430049,-4.763359,-8.389313,-4.473282
1036,0.01675941,-8.597578,-5.121197,0.3129771,-9.938931,-1.236641
1037,-0.2035071,-8.487445,-5.157111,-2.419847,-8.450381,-1.366412
1038,-0.3782839,-8.429984,-5.370194,0.2213741,-19.53435,-6.198473
1039,-0.5003881,-8.616732,-5.257667,2.59542,-22.09924,-4.977099
1040,-0.1604115,-8.540117,-5.212177,-2.206107,-14.58015,-4.022901
1041,-0.272939,-8.750807,-5.226542,0.519084,-9.900764,2.564885
1042,-0.7685388,-8.51857,-5.118803,-2.236641,-3.70229,6.732824
1043,-0.9217676,-8.461109,-5.190629,-2.396947,-6.351145,7.030534
1044,-0.8738836,-8.561666,-5.185841,2.389313,-3.870229,4.984733
1045,-1.197101,-8.607155,-5.346252,3.473282,-1.641221,6.198473
1046,-1.292869,-8.50181,-5.149928,5.022901,-3.78626,2.992366
1047,-1.101333,-8.604761,-5.21936,-0.4732824,0.4656488,2.870229
1048,-1.268927,-8.578424,-5.104438,-0.7938931,-2.854962,-2.725191
1049,-1.053449,-8.544906,-5.073313,2.022901,1.053435,1.129771
1050,-1.525106,-8.710106,-5.24809,1.541985,-0.0610687,-0.9389313
1051,-1.055843,-8.683769,-5.231331,6.236641,-6.847328,-1.450382
1052,-1.11091,-8.525752,-4.874595,-6.91603,0.6564885,-2.396947
1053,-1.529895,-8.760384,-5.142745,2.29771,-3.59542,-1.229008
1054,-1.407791,-8.659827,-4.975151,5.824428,-11.37405,-5.519084
1055,-0.9648633,-8.657434,-4.855441,-2.358779,1.412214,-0.4427481
