,ax,ay,az,gx,gy,gz
1121,0.296881,-8.403648,-5.470751,-29.0458,-6.236641,-23.99237
1122,0.2418144,-8.75799,-6.584054,8.175572,-14.60305,-10.48092
1123,-0.004788403,-7.900866,-5.422867,-1.923664,-28.83206,-19.20611
1124,0.3112462,-8.343793,-5.57849,2.167939,-25.18321,-16.77099
1125,0.05506664,-8.623915,-5.33907,8.488549,-24.77863,-7.374046
1126,-0.2274492,-8.451532,-5.097255,-5.465649,-26.90076,-21.13741
1127,0.2418144,-8.59279,-5.760449,-4.564886,-30.91603,-24.83206
1128,0.1484405,-8.528147,-5.650316,11.77863,-31.48092,-14.91603
1129,0.2011129,-8.154651,-5.576096,18.74809,-39.46565,-17.26718
1130,0.1675941,-8.061277,-5.6982,8.473283,-41.10687,-23.01527
1131,0.8930372,-8.652645,-5.355829,-2.854962,-20.70229,-15.80153
1132,0.09097966,-8.192958,-5.540183,-0.4503817,-9.114504,-2.671756
1133,0.2825158,-8.655039,-5.499481,6.21374,-4.465649,0.09923664
1134,0.3926491,-8.588001,-5.231331,10.17557,7.244275,9.801527
1135,0.4764462,-8.607155,-5.070919,6.038168,26.32825,15.36641
1136,0.5913678,-8.66701,-5.140351,-2.412214,48.75573,21.46565
1137,0.2442086,-8.688558,-5.094861,4.08397,57.92366,27.29771
1138,-0.3615245,-8.451532,-5.066131,15.64886,51.33588,24.16794
1139,0.4070143,-8.750807,-3.881001,-31.01527,59.86259,10.84733
1140,-0.1723825,-8.765172,-5.140351,-10.81679,48.39695,21.16031
1141,-0.3782839,-8.887277,-5.403713,8.198473,27.35114,18.13741
1142,0.308852,-8.750807,-4.865018,8.297709,22.19847,16.45038
1143,-0.06943185,-8.865729,-4.697424,5.442748,17.58779,18.67939
1144,-0.1292869,-8.60955,-4.31914,-7.114504,11.28244,7.748092
1145,-0.03591302,-8.659827,-4.321534,-9.198473,9.114504,-4.931298
1146,0.08858546,-9.366117,-4.915296,2.961832,8.427481,5.664122
1147,-0.1723825,-8.63828,-4.570531,2.80916,-2.435115,-3.801527
1148,0.4046201,-9.28232,-4.853047,3.10687,-14.53435,-6.19084
1149,0.6033388,-8.784326,-4.22816,7.129771,-11.17557,-7.221374
1150,0.5985504,-9.112331,-4.60405,-0.3969466,-2.076336,-3.870229
