,ax,ay,az,gx,gy,gz
516,-0.308852,-8.556877,-5.116409,1.015267,-30.37405,-9.198473
517,-0.1292869,-8.556877,-5.195418,-3.832061,-27.14504,-13.18321
518,-0.1532289,-8.59279,-5.288792,-2.977099,-20.9313,-9.122137
519,-0.1436521,-8.451532,-5.185841,-0.5801527,-23.39695,-9.335877
520,-0.1795651,-8.480263,-5.363012,-2.198473,-16.93893,-3.572519
521,-0.4477157,-8.520964,-5.190629,-2.251908,-12.45802,-3.267176
522,-0.3399766,-8.92319,-5.377377,5.793893,-1.358779,-0.02290076
523,-0.5386954,-8.65025,-4.929661,7.022901,2.320611,3.564885
524,0.7924808,-8.116343,-4.805163,0.6564885,12.66412,-0.1068702
525,0.06224924,-8.836999,-5.11162,5.877862,2.167939,1.396947
526,-0.8379706,-8.932767,-5.415684,8.465649,-0.09923664,1.648855
527,-0.5099649,-8.463503,-4.642357,-4.51145,6.267176,-0.1145038
528,-0.2226608,-8.841787,-5.070919,2.396947,12.0458,4.755725
529,-0.3998317,-8.767567,-4.838682,-1.007634,13.75572,3.717557
530,-0.8451532,-8.942344,-4.812346,3.473282,6.167939,2.335878
531,-0.5554548,-8.798691,-4.76925,0.3587786,6.183206,2.946565
532,-0.4812346,-8.908825,-4.596867,-0.3969466,7.351145,2.236641
533,-0.2801216,-8.822633,-4.599261,-0.09923664,7.08397,2.938931
534,-0.248997,-8.774749,-4.845864,4.206107,3.419847,2.625954
535,-0.2681506,-8.784326,-4.668694,-0.6030535,5.198473,0.9083969
536,-0.593762,-8.834604,-4.886566,1.068702,-2.229008,-2.083969
537,-0.260968,-8.762778,-4.817134,-7.793893,-0.1526718,-3.709924
538,-0.2394202,-8.700529,-4.742914,1.51145,5.015267,0.6717557
539,-0.06224924,-8.78672,-4.733337,-4.40458,11.99237,1.282443
540,-0.3687071,-8.858546,-4.809951,0.5343512,6.08397,0.7557252
541,-0.1771709,-8.633492,-4.774038,-1.076336,4.030534,0.9083969
542,0.01675941,-8.880095,-4.929661,0.389313,6.282443,4.137404
543,-0.2801216,-8.719683,-4.699818,-3.59542,6.641222,1.587786
544,-0.1460463,-8.822633,-4.853047,-0.778626,4.419847,2.137405
545,-0.1699883,-8.777143,-4.982334,-1.122137,2.396947,-0.259542
