,ax,ay,az,gx,gy,gz
56,0.4955997,-8.243237,-5.650316,-1.664122,23.72519,11.45802
57,0.6129156,-8.145074,-5.616797,-2.51145,26.48855,12.52672
58,0.5602432,-8.137892,-5.755661,-2.793893,24.73282,12.19847
59,0.4668693,-8.24563,-5.683835,3.89313,13.38168,12.12977
60,0.4381389,-8.346188,-5.274426,-0.1221374,-1.175573,5.38168
61,0.3375824,-8.456321,-5.231331,-4.770992,-10.51908,-8.229008
62,-0.1460463,-8.350976,-5.418078,-15.16031,-12.77863,-15.68702
63,0.05985504,-8.171411,-5.746084,-4.244275,-40.1145,-23.64122
64,0.3854665,-8.104373,-5.849035,-0.1908397,-36.19847,-19.94657
65,1.247379,-8.082825,-5.829881,1.763359,-17.18321,-9.656488
66,0.04309563,-8.197746,-6.167464,1.48855,-6.473282,-4.244275
67,-0.7230489,-8.35337,-6.430826,7.954198,-32.33588,-5.335878
68,-0.2537854,-7.795521,-6.174646,-5.328244,-17.07634,-6.946565
69,0.4022259,-7.898471,-6.150704,-9.366412,-14.9313,-3.503817
70,-0.6991069,-8.111555,-6.119579,-10.69466,-21.18321,-11.87023
71,-0.2418144,-8.295909,-6.306327,1.923664,-9.19084,-7.877862
72,-0.3830723,-7.927202,-6.162675,6.877862,7.374046,0.8854962
73,-0.1963245,-7.860164,-6.488286,0.5267176,16.86259,-1.748092
74,-0.3998317,-8.118738,-5.827487,10.74809,22.72519,4.70229
75,0.629675,-8.365341,-6.05733,13.94656,27.51145,9.854961
76,-0.9337386,-7.910442,-5.121197,20.10687,11.15267,3.541985
77,0.0,-8.65025,-5.600038,12.41985,1.21374,7.961832
78,0.1244985,-8.226477,-4.891354,-12.77099,5.290076,4.29771
79,-0.05506664,-8.571242,-5.489904,-1.305344,-7.89313,1.221374
80,0.6823475,-8.542512,-5.123591,-4.282443,-10.44275,-6.480916
81,1.108515,-8.750807,-5.006276,14.83206,8.793893,-3.236641
82,0.2992752,-8.556877,-5.334281,5.389313,7.793893,0.480916
83,0.05267244,-8.513782,-4.898537,1.580153,2.572519,0.2061069
84,0.5530606,-8.755595,-4.510676,-1.748092,2.618321,1.21374
85,0.9097966,-8.678981,-5.025429,1.030534,1.587786,3.175573
