,ax,ay,az,gx,gy,gz
218,-0.1532289,-8.348581,-5.410896,-15.70229,-0.03053435,-0.2900764
219,-0.2801216,-8.274361,-5.485116,2.038168,-0.09923664,-1.229008
220,0.1101333,-8.434772,-5.858612,7.603054,-0.7251908,-1.007634
221,-0.4812346,-8.42759,-5.844246,5.992366,-6.412214,-5.923664
222,-0.1005565,-8.001422,-5.77242,4.740458,-4.526718,-2.351145
223,0.1484405,-8.327033,-5.688623,8.832061,-0.5038168,-0.2442748
224,0.2298434,-8.367735,-5.425261,6.564886,3.038168,3.129771
225,0.1580173,-8.37013,-5.288792,5.526718,4.137404,3.40458
226,0.04548983,-8.51857,-5.197812,4.419847,5.10687,3.969466
227,-0.03591302,-8.465898,-5.061342,-0.007633588,3.145038,3.061069
228,-0.01915361,-8.520964,-5.051765,-1.725191,0.2442748,3.068702
229,-0.1460463,-8.614338,-5.063736,0.1603053,-3.954198,2.580153
230,0.06943185,-8.707711,-5.032612,-4.267176,-4.21374,-1.335878
231,0.1867477,-8.379706,-5.099649,-6.900764,-2.78626,0.4656488
232,0.04788403,-8.664616,-5.432444,-4.145038,-2.229008,1.343511
233,0.1316811,-8.724471,-5.358223,-2.343511,0.07633588,0.1526718
234,0.2154782,-8.360553,-5.434838,-2.587786,4.007634,0.8625955
235,0.1125275,-8.599973,-5.535394,2.526718,4.625954,0.5343512
236,0.225055,-8.559271,-5.506664,3.412214,5.816794,1.450382
237,0.1987187,-8.403648,-5.437232,0.9389313,7.664122,1.664122
238,0.09097966,-8.461109,-5.341464,-1.519084,6.572519,1.145038
239,0.260968,-8.468291,-5.257667,-1.045802,5.740458,-1.793893
240,0.5410896,-8.47308,-5.609614,-1.885496,7.160306,-0.01526718
241,0.4046201,-8.367735,-5.343858,-2.160305,3.755725,-0.4122138
242,0.3112462,-8.528147,-5.33907,-5.076336,2.59542,-0.6564885
243,0.2992752,-8.477868,-5.250484,-4.175572,0.3358779,-1.320611
244,0.3639187,-8.480263,-5.475539,-2.10687,-0.4656488,-0.4961832
245,0.2944868,-8.456321,-5.391742,5.480916,-2.679389,1.351145
246,0.248997,-8.425196,-5.420473,4.694656,-1.824428,2.984733
247,0.03351882,-8.396465,-5.406107,5.137404,-0.2977099,4.198473
