,ax,ay,az,gx,gy,gz
563,0.1436521,-8.631097,-4.91769,-1.267176,8.320611,2.427481
564,0.1651999,-8.643068,-5.075707,-1.900763,9.40458,3.709924
565,0.06224924,-8.664616,-5.099649,-2.80916,9.755725,5.282443
566,-0.06943185,-8.834604,-5.080496,-1.89313,9.526717,6.717557
567,0.2082956,-8.743625,-4.975151,-0.5038168,7.160306,3.572519
568,0.1460463,-8.63828,-5.109226,-4.343512,8.259542,2.549618
569,0.04788403,-8.662222,-5.181053,-7.198473,4.641222,-1.679389
570,0.2825158,-8.676587,-5.288792,-6.152672,2.312977,-1.59542
571,0.009576806,-8.561666,-5.252879,-2.015267,-6.343512,-2.946565
572,0.2202666,-8.50181,-5.286397,2.824427,-4.076336,-3.206107
573,0.2466028,-8.544906,-5.250484,3.664122,-6.549618,-0.7709923
574,0.4860229,-8.595184,-5.324705,4.938931,-3.977099,-0.4351145
575,0.225055,-8.499416,-5.006276,-0.5801527,0.01526718,0.9083969
576,-0.2106898,-8.453926,-5.0374,3.389313,-1.10687,2.687023
577,-0.2202666,-8.662222,-5.133168,5.244275,-8.610687,2.389313
578,-0.2537854,-8.66701,-5.090073,5.923664,-11.70992,-0.5572519
579,-0.02154782,-8.717288,-5.066131,4.61832,-11.20611,-0.7251908
580,-0.2059013,-8.779537,-4.805163,-1.732824,-7.51145,-2.053435
581,-0.4692635,-8.578424,-4.965574,-0.2519084,-9.824428,-4.931298
582,-0.1580173,-8.884883,-4.867412,5.442748,-7.656488,-0.5648855
583,-0.3399766,-8.760384,-4.819528,-2.038168,-2.19084,-0.2671756
584,-0.4860229,-8.60955,-4.862624,-0.7633588,-5.145038,-2.335878
585,-0.308852,-8.765172,-4.809951,3.793893,-2.29771,0.8167939
586,-0.4118027,-8.848969,-4.809951,1.328244,0.07633588,0.3664122
587,-0.6392518,-8.803479,-4.8722,3.778626,-3.580153,-2.320611
588,-0.5889736,-8.975863,-4.738125,3.984733,-2.938931,-0.3053435
589,-0.6536171,-8.583213,-4.422091,-7.053435,2.717557,-2.51145
590,-0.5722142,-9.052477,-4.850653,2.450382,2.412214,-1.129771
591,-0.5865794,-8.89446,-4.654328,-1.290076,1.183206,-0.1908397
592,-0.4620809,-8.825027,-4.654328,-4.21374,3.015267,-0.4274809
