,ax,ay,az,gx,gy,gz
981,-0.1173159,-8.925584,-5.003881,5.366412,0.9160305,1.770992
982,-0.07900865,-8.678981,-4.795586,-0.6717557,1.526718,0.259542
983,-0.1675941,-8.746018,-4.924873,-0.648855,-1.076336,-1.236641
984,-0.1891419,-8.767567,-4.733337,-1.763359,-3.374046,-3.396947
985,-0.01915361,-8.904037,-4.967968,-0.0610687,-3.21374,-1.274809
986,-0.02873042,-8.832211,-5.011064,-3.458015,-1.946565,-2.496183
987,0.1053449,-8.695741,-4.812346,-3.763359,1.664122,-0.01526718
988,-0.05985504,-8.767567,-4.924873,-0.4961832,0.2671756,-0.04580153
989,0.02154782,-8.76996,-4.939238,1.328244,1.083969,1.015267
990,0.002394202,-8.652645,-4.886566,-1.916031,1.244275,-0.1221374
991,0.1029507,-8.726865,-4.920084,-0.2824428,4.312977,0.6412213
992,0.05027823,-8.784326,-4.896142,0.2290076,3.167939,0.3587786
993,0.1364695,-8.753201,-4.939238,0.8625955,3.160305,0.259542
994,0.1963245,-8.599973,-4.831499,-1.435114,4.625954,2.137405
995,0.1795651,-8.738836,-4.819528,-0.04580153,3.877863,3.709924
996,0.1005565,-8.724471,-4.845864,0.7022901,1.343511,3.114504
997,-0.007182605,-8.825027,-4.766856,0.1145038,3.366412,2.366412
998,0.2011129,-8.777143,-4.903325,-1.969466,-1.053435,0.03816794
999,0.1412579,-8.693346,-4.817134,-3.717557,-4.709924,-3.48855
1000,0.08140286,-8.602366,-4.96318,-2.564885,-9.526717,-5.030534
1001,-0.2082956,-8.549694,-5.068525,-6.068702,-15.19084,-7.709924
1002,-0.2513912,-8.552089,-5.386954,-6.801527,-20.99237,-2.969466
1003,-0.5554548,-8.164227,-5.32231,-18.34351,-15.45038,-4.900764
1004,-0.4788404,-8.853758,-5.576096,-5.389313,-15.58015,4.824428
1005,-0.521936,-8.418014,-5.446809,-3.908397,-10.00763,3.061069
1006,-0.7589619,-8.291121,-5.717354,-11.76336,-4.664122,-1.923664
1007,-0.7350199,-8.42759,-5.640739,-3.007634,-0.1679389,0.4503817
1008,-0.6655881,-8.310274,-5.631162,1.122137,7.709924,-0.5038168
1009,-0.9624691,-8.42759,-5.734113,5.740458,10.9313,-2.824427
1010,-1.242591,-8.288726,-5.925649,8.343512,4.709924,-2.221374
