,ax,ay,az,gx,gy,gz
26,1.898602,-8.698134,-5.83467,0.4122138,61.0687,22.32061
27,0.5770026,-8.429984,-4.893748,-12.63359,46.21374,6.526718
28,1.058237,-8.674192,-5.243302,1.625954,19.77863,6.755725
29,1.644816,-8.288726,-4.766856,-2.389313,3.832061,17.87023
30,1.383849,-8.611943,-4.76925,3.10687,-9.610687,10.64886
31,1.838747,-8.377312,-5.075707,-1.725191,-23.17557,0.2748091
32,0.5602432,-8.738836,-5.6982,6.419847,-30.79389,2.0
33,1.51553,-7.855376,-5.279215,-0.8549618,-18.12214,-2.198473
34,0.260968,-8.643068,-5.770026,4.78626,-13.0916,-1.061069
35,-0.05267244,-8.374918,-5.511452,2.152672,-18.12214,-6.954198
36,0.1436521,-8.516175,-5.420473,3.305344,-19.49618,-6.870229
37,-0.05267244,-8.394072,-5.50427,2.198473,-21.74809,-11.71756
38,-0.09816227,-8.362947,-5.41329,2.251908,-28.12214,-14.99237
39,0.06943185,-8.322245,-5.657499,-0.1145038,-35.77863,-20.0229
40,0.1556231,-8.408437,-5.619191,-0.6412213,-34.1832,-19.32061
41,0.4884171,-8.286332,-5.468357,0.3740458,-30.0,-15.18321
42,0.4620809,-8.307879,-5.494693,-0.09160305,-22.53435,-10.08397
43,0.4333505,-8.408437,-5.566519,-2.305344,-13.50382,-7.48855
44,0.3351882,-8.279149,-5.482722,-3.763359,-6.450382,-5.503817
45,0.4237737,-8.494628,-5.755661,-0.9389313,-0.5419847,-0.2519084
46,0.2657564,-8.248025,-5.535394,0.04580153,4.541985,3.129771
47,0.2154782,-8.422802,-5.554548,2.916031,8.137404,6.099236
48,0.1867477,-8.312668,-5.521029,1.206107,11.47328,6.687023
49,0.1867477,-8.599973,-5.556942,2.450382,14.96947,8.770992
50,0.1819593,-8.386889,-5.449203,1.053435,17.1145,9.061069
51,0.2633622,-8.339005,-5.331887,-4.89313,20.49618,7.992366
52,0.3998317,-8.295909,-5.434838,-9.366412,21.54962,7.671756
53,0.3375824,-8.437167,-5.638345,-8.877863,26.51145,11.64886
54,0.296881,-8.255207,-5.707777,-3.839695,25.12214,14.29771
55,0.1723825,-8.334216,-5.645528,4.167939,24.30534,14.80916
